Question,positive prompt (1.0),neutral prompt (0.5),negative prompt (0.0),question type,dr_mario,mario,luigi,bowser,peach,yoshi,dk,falcon,ganon,falco,fox,ness,ice_climbers,wobbling_ice_climbers,kirby,samus,zelda,sheik,link,ylink,pichu,pikachu,puff,mewtwo,gw,marth,roy,sopo,giga_bowser,male_wireframe,fem_wireframe,masterhand,crazyhand,koopa,goomba
do you smoke cigs or vape?,yeah,,no,binary,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.45,0.5,0.5,0.4,0.5,,,,,,,,
which tactic are you more comfortable with,reading my opponents next move,,reacting to what they do and acting accordingly,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you listen to game sounds or other music in tournament?,I have a playlist for tournaments,,I need game audio to help me achieve a flow state,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
which is better?,in n out,Don't know/Equally good,five guys,slider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you compete in other iterations of smash?,yes often,sometimes,no never,slider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
was melee an accident?,certainly,idk,definitely not,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which are you more of?,chad,,incel,slider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All expenses paid, which would you rather go to?",Big House,,Genesis,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you smoke weed?,yes,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you want to have fun?,yes,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Theres a new guy from another state who started showing up to the local 3 months ago, he told you his mom died a few months ago, you're in grands game 10, he SDs at 25% and has 1 stock left to your 2, the prize for 1st is $210 (its never been this much before) do you homie stock? ",yes,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fox nairs at you, you have just enough time to react, which option do you choose",crouch cancel,,dash back,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
where would you rather be?,in the air,,on the ground,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
which ledge,left ledge,,right ledge,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how many times do you refresh when you grab ledge?,2 or more,,under 2,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"you grab the ledge with a 12% lead, 4:32 left on the clock",wait until your opponent gets frustrated,,Immediatly choose a ledge option,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"youre in grands from losers, you just got the reset 3-1 and are taking a breather, you get a text from your neighbor saying they think they think they smell a gas leak coming from you apartment (they have said this twice since you started living there, and been right once before),  do you leave or finish out the set",,,,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wavedashing,its a glitch,,"it was intended, sakurai planned competitive melee",binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you like using the b button?,yes its fun,,no why is it so small,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you think of the C stick,you mean the cheat stick?,,hey there's nothing in the rules against using it,binary,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
which version would you rather play on?,pal,,ntsc 1.02,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sooo was hax onto something?,yes,,no,binary,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,1,,1
is melee like jazz?,yes,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do you care if your opponent has fun?,"yes, I mean we all play to have fun in some form at the end of the day right?",,nah fuck em thats their problem,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
does the daisy skin have a place in this world?,yes,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
are handoffs just wobbling with extra steps?,yeah fuck that shit,,no only an idiot would think that,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is your tag just your name?,"yeah, what's wrong with that?",,no ,binary,0,0.1,0,0,0.55,0,0,0.2,0,0.3,0.64,0,0,0,0,0.07,0,0,0,0,0,0,0.5,0,0,0.6,0,0,0,0,0,0,1,0,0.5
would Armada be top 10 if he came back and competed for 2 months and entered 3 majors in that time?,yes,,no,binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"do you shower, use deodorant, brush your teeth before tournaments?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how long have you been playing melee?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have you ever smurfed in an online tournament? (do not count tournaments that encourage smurfing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how do you feel about melee?,love it,neutral,hate it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
